time,latitude,longitude,mag,country
1994-06-09,-13.841,-67.553,8.2,Bolivia
1994-06-02,-10.477,112.835,7.8,Indonesia
1994-03-09,-18.039,-178.413,7.6,Fiji
1994-02-12,-20.553,169.361,7.0,Vanuatu
1994-01-21,1.015,127.733,7.0,Indonesia
1993-12-29,-20.23,169.789,7.0,Vanuatu
1993-11-13,51.934,158.647,7.0,Russia
1993-09-10,14.717,-92.645,7.2,Mexico
1993-08-10,-45.277,166.927,7.0,New Zealand
1993-08-09,36.379,70.868,7.0,Afghanistan
1993-08-08,12.982,144.801,7.8,Guam
1993-07-12,42.851,139.197,7.7,Japan
1993-06-08,51.218,157.829,7.5,Russia
1993-05-24,-22.671,-66.543,7.0,Argentina
1993-05-11,7.219,126.57,7.0,Philippines
1993-03-06,-10.972,164.181,7.1,Solomon Islands
1993-01-15,43.3,143.691,7.6,Japan
1992-12-20,-6.582,130.393,7.3,Indonesia
1992-12-12,-8.48,121.896,7.8,Indonesia
1992-10-18,7.075,-76.862,7.2,Colombia
1992-10-11,-19.247,168.948,7.4,Vanuatu
1992-09-02,11.742,-87.34,7.7,Nicaragua
1992-08-19,42.142,73.575,7.3,Kyrgyzstan
1992-07-11,-22.483,-178.413,7.2,Fiji
1992-06-28,34.2,-116.437,7.3,USA
1992-05-27,-11.122,165.239,7.0,Solomon Islands
1992-05-17,7.191,126.762,7.3,Philippines
1992-05-17,7.239,126.645,7.1,Philippines
1992-05-15,-6.075,147.572,7.2,Guinea
1992-04-25,40.3353333,-124.2286667,7.2,USA
1991-12-22,45.533,151.021,7.6,Russia
1991-11-19,4.554,-77.442,7.2,Colombia
1991-10-14,-9.094,158.442,7.2,Solomon Islands
1991-09-30,-20.878,-178.591,7.0,Fiji
1991-08-17,41.679,-125.856,7.0,USA
1991-07-06,-13.108,-72.187,7.0,Peru
1991-06-23,-26.802,-63.349,7.3,Argentina
1991-06-20,1.196,122.787,7.5,Indonesia
1991-06-09,-20.252,-176.218,7.0,Tonga
1991-05-30,54.567,-161.606,7.0,USA
1991-05-19,1.156,122.957,7.0,Indonesia
1991-04-29,42.453,43.673,7.0,Georgia
1991-04-22,9.685,-83.073,7.6,Costa Rica
1991-04-05,-5.982,-77.094,7.1,Peru
1991-02-18,8.87,126.48,7.0,Philippines
1991-01-05,23.613,95.901,7.0,Myanmar
1990-12-30,-5.097,150.967,7.5,Guinea
1990-11-06,53.452,169.871,7.1,USA
1990-10-17,-10.97,-70.776,7.0,Peru
1990-08-12,-19.435,169.132,7.1,Vanuatu
1990-07-27,-15.355,167.464,7.2,Vanuatu
1990-07-16,15.679,121.172,7.7,Philippines
1990-06-20,36.957,49.409,7.4,Iran
1990-06-14,11.76,121.899,7.1,Philippines
1990-05-30,45.841,26.668,7.0,Romania
1990-05-24,-7.363,120.363,7.1,Indonesia
1990-05-24,5.358,31.848,7.1,Sudan
1990-05-20,5.121,32.145,7.2,Sudan
1990-05-12,49.037,141.847,7.2,Russia
1990-04-18,1.186,122.857,7.8,Indonesia
1990-04-05,15.125,147.596,7.6,Northern Mariana Islands
1990-03-25,9.919,-84.808,7.3,Costa Rica
1990-03-05,-18.318,168.063,7.1,Vanuatu
1990-03-03,-22.122,175.163,7.6,Fiji
1989-12-15,8.337,126.729,7.6,Philippines
1989-12-07,-6.436,146.383,7.1,Guinea
1989-11-01,39.837,142.76,7.4,Japan
